行业,样本数,净利率中位数,负债率中位数,PE中位数,报告期,生成日期
B06煤炭开采和洗选业,6,0.0114,0.6854,22.1737,2026Q2,2026-08-31
B07石油和天然气开采业,6,0.0956,0.3662,21.3868,2026Q2,2026-08-31
B09有色金属矿采选业,6,0.1373,0.4938,27.2639,2026Q2,2026-08-31
C13农副食品加工业,6,0.085,0.3495,43.2733,2026Q2,2026-08-31
C14食品制造业,6,0.0959,0.3831,23.6121,2026Q2,2026-08-31
C15酒、饮料和精制茶制造业,6,0.1043,0.3221,33.2813,2026Q2,2026-08-31
C18纺织服装、服饰业,6,0.0483,0.4262,33.4784,2026Q2,2026-08-31
C22造纸和纸制品业,6,0.0265,0.4521,219.8373,2026Q2,2026-08-31
C26化学原料和化学制品制造业,6,0.0657,0.4932,24.1019,2026Q2,2026-08-31
C27医药制造业,6,0.1259,0.289,32.8699,2026Q2,2026-08-31
C29橡胶和塑料制品业,6,0.0511,0.5402,19.9844,2026Q2,2026-08-31
C30非金属矿物制品业,6,-0.154,0.4898,32.304,2026Q2,2026-08-31
C31黑色金属冶炼和压延加工业,6,0.0009,0.5846,138.1779,2026Q2,2026-08-31
C32有色金属冶炼和压延加工业,6,0.0247,0.486,43.5335,2026Q2,2026-08-31
C34通用设备制造业,6,-0.06,0.4912,42.9536,2026Q2,2026-08-31
C35专用设备制造业,6,0.0199,0.4501,25.0088,2026Q2,2026-08-31
C36汽车制造业,6,0.0339,0.5548,15.3854,2026Q2,2026-08-31
C37铁路、船舶、航空航天和其他运输设备制造业,6,0.0257,0.6335,65.4989,2026Q2,2026-08-31
C38电气机械和器材制造业,6,-0.0115,0.5821,140.6926,2026Q2,2026-08-31
C39计算机、通信和其他电子设备制造业,6,0.0181,0.4166,95.5656,2026Q2,2026-08-31
C40仪器仪表制造业,6,0.0797,0.4008,47.9301,2026Q2,2026-08-31
D44电力、热力生产和供应业,6,0.0857,0.6327,16.0262,2026Q2,2026-08-31
D45燃气生产和供应业,6,0.0434,0.5942,42.0961,2026Q2,2026-08-31
E48土木工程建筑业,6,0.0036,0.8038,19.6259,2026Q2,2026-08-31
F51批发业,6,0.005,0.6059,31.9512,2026Q2,2026-08-31
F52零售业,6,-0.0262,0.611,59.4256,2026Q2,2026-08-31
G54道路运输业,6,0.2806,0.5699,13.4735,2026Q2,2026-08-31
G55水上运输业,6,0.1139,0.5095,16.3779,2026Q2,2026-08-31
I63电信、广播电视和卫星传输服务,6,0.1063,0.3819,29.0183,2026Q2,2026-08-31
I64互联网和相关服务,6,-0.0302,0.3296,201.1382,2026Q2,2026-08-31
I65软件和信息技术服务业,6,-0.0577,0.4091,25.1714,2026Q2,2026-08-31
J66货币金融服务,6,0.3446,0.9049,6.3125,2026Q2,2026-08-31
J67资本市场服务,6,0.3758,0.7851,13.0031,2026Q2,2026-08-31
J69其他金融业,0,,,,2026Q2,2026-08-31
K70房地产业,0,,,,2026Q2,2026-08-31
L72商务服务业,0,,,,2026Q2,2026-08-31
N77生态保护和环境治理业,0,,,,2026Q2,2026-08-31
